SourceTextTitle,SourceTextCode,EventID,StartDate,EndDate
"Absalom, Absalom!",AA,16052,1869-08-12,1869-08-12
"Absalom, Absalom!",AA,16054,1869-08-11,1869-08-11
"Absalom, Absalom!",AA,16056,1869-08-12,1869-08-12
"Absalom, Absalom!",AA,16063,1910-01-13,1910-01-13
"Absalom, Absalom!",AA,16067,1860-12-24 , 1860-12-25
"Absalom, Absalom!",AA,16068,1860-12-24,1860-12-24
"Absalom, Absalom!",AA,16070,1833-01-01 , 1849-12-31
"Absalom, Absalom!",AA,16071,1910-01-13,1910-01-13
"Absalom, Absalom!",AA,16072,1849-01-01 , 1858-12-31
"Absalom, Absalom!",AA,16073,1849-01-01 , 1858-12-31
"Absalom, Absalom!",AA,16074,1833-01-01 , 1858-12-31
"Absalom, Absalom!",AA,16075,1833-06-07 , 1841-12-31
"Absalom, Absalom!",AA,16076,1841-01-01 , 1858-12-31
"Absalom, Absalom!",AA,16078,1910-01-13 , 1910-01-14
"Absalom, Absalom!",AA,16079,1855-01-01 , 1858-12-31
"Absalom, Absalom!",AA,16082,1855-01-01 , 1858-12-31
"Absalom, Absalom!",AA,16083,1859-09-01 , 1859-09-30
"Absalom, Absalom!",AA,16089,1859-08-02 , 1859-08-31
"Absalom, Absalom!",AA,16090,1910-01-14,1910-01-14
"Absalom, Absalom!",AA,16092,1859-08-03 , 1859-08-31
"Absalom, Absalom!",AA,16097,1859-09-10 , 1859-10-31
"Absalom, Absalom!",AA,16104,1859-12-25 , 1863-01-23
"Absalom, Absalom!",AA,16105,1859-12-25,1859-12-25
"Absalom, Absalom!",AA,16106,1860-01-03 , 1860-01-05
"Absalom, Absalom!",AA,16107,1910-01-14,1910-01-14
"Absalom, Absalom!",AA,16111,1910-01-14,1910-01-14
"Absalom, Absalom!",AA,16116,1909-06-01 , 1909-06-10
"Absalom, Absalom!",AA,16118,1910-01-14,1910-01-14
"Absalom, Absalom!",AA,16121,1860-06-01 , 1860-06-10
"Absalom, Absalom!",AA,16122,1860-04-01 , 1860-05-31
"Absalom, Absalom!",AA,16124,1860-06-01 , 1860-06-10
"Absalom, Absalom!",AA,16128,1860-06-12 , 1860-06-30
"Absalom, Absalom!",AA,16131,1860-06-13 , 1860-08-31
"Absalom, Absalom!",AA,16133,1860-12-01 , 1860-12-25
"Absalom, Absalom!",AA,16135,1860-12-24,1860-12-24
"Absalom, Absalom!",AA,16136,1860-12-24,1860-12-24
"Absalom, Absalom!",AA,16137,1860-12-24,1860-12-24
"Absalom, Absalom!",AA,16139,1860-12-24,1860-12-24
"Absalom, Absalom!",AA,16140,1860-12-25,1860-12-25
"Absalom, Absalom!",AA,16141,1860-12-25,1860-12-25
"Absalom, Absalom!",AA,16143,1910-01-14,1910-01-14
"Absalom, Absalom!",AA,16145,1909-09-06,1909-09-06
"Absalom, Absalom!",AA,16146,1910-01-14,1910-01-14
"Absalom, Absalom!",AA,16147,1860-12-28 , 1860-12-31
"Absalom, Absalom!",AA,16149,1861-01-01 , 1861-01-06
"Absalom, Absalom!",AA,16150,1860-01-08 , 1860-01-31
"Absalom, Absalom!",AA,16154,1861-01-11 , 1861-01-31
"Absalom, Absalom!",AA,16155,1861-01-16 , 1861-01-31
"Absalom, Absalom!",AA,16160,1861-05-02 , 1861-05-31
"Absalom, Absalom!",AA,16165,1862-04-07,1862-04-07
"Absalom, Absalom!",AA,16168,1910-01-14,1910-01-14
"Absalom, Absalom!",AA,16169,1864-01-01 , 1865-02-28
"Absalom, Absalom!",AA,16170,1864-01-01 , 1865-02-28
"Absalom, Absalom!",AA,16171,1910-01-14,1910-01-14
"Absalom, Absalom!",AA,16176,1865-03-01 , 1865-03-31
"Absalom, Absalom!",AA,16182,1910-01-14,1910-01-14
"Absalom, Absalom!",AA,16187,1865-05-03,1865-05-03
"Absalom, Absalom!",AA,16194,1858-01-01 , 1866-01-31
"Absalom, Absalom!",AA,16195,1866-01-01 , 1867-12-31
"Absalom, Absalom!",AA,16196,1910-01-14,1910-01-14
"Absalom, Absalom!",AA,16198,1909-09-06,1909-09-06
"Absalom, Absalom!",AA,16199,1909-09-06,1909-09-06
"Absalom, Absalom!",AA,16203,1909-09-06,1909-09-06
"Absalom, Absalom!",AA,16210,1909-09-06,1909-09-06
"Absalom, Absalom!",AA,16212,1909-09-06,1909-09-06
"Absalom, Absalom!",AA,16213,1909-09-06,1909-09-06
"Absalom, Absalom!",AA,16217,1909-12-26 , 1909-12-27
"Absalom, Absalom!",AA,16220,1910-01-14,1910-01-14
"Absalom, Absalom!",AA,16222,1910-01-09,1910-01-09
"Absalom, Absalom!",AA,16224,1910-01-14,1910-01-14
"Absalom, Absalom!",AA,16436,1909-09-06,1909-09-06
"Absalom, Absalom!",AA,22379,1730-01-01 , 1770-12-31
"Absalom, Absalom!",AA,22569,1880-01-01 , 1880-12-31
"Absalom, Absalom!",AA,22570,1880-01-01 , 1880-12-31
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
